target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
16733,16736,433736,2,1.09027555994291,0.257562571564659,4.61528850850431,0.906542963191335,NA,0.0864304715777445,0.736204082365616,1619,1619,13147,14065,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4295261,2,NA,NA,NA,NA,NA,NA,NA,1619,1619,13169,14090,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,435243,2,NA,NA,NA,NA,NA,NA,NA,1619,1619,13169,14090,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,433736,3,1.52672461974704,0.457484361111753,3.80074963360135,0.433393584753567,NA,0.423124669270497,0.540114745523524,1623,24404,13240,199584,-5,38,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,432867,3,1.34018360047665,0.467051104465833,3.03439650912667,0.539644543432303,NA,0.292806619858162,0.47738865908148,1623,24404,13215,199433,5,55,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4295261,3,NA,NA,NA,NA,NA,NA,NA,1623,24404,13262,199772,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4080762,3,0.342910068805236,NA,7.22350690021586,NA,NA,-1.07028705626622,NA,1623,24404,13262,199741,0,5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,78524,3,NA,NA,NA,NA,NA,NA,NA,1623,24404,13262,199772,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,435243,3,0.340523927060889,NA,12.3693329645558,NA,NA,-1.0772698854917,NA,1623,24404,13262,199753,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,438120,3,0.3418537527345,NA,23.2606892294137,NA,NA,-1.0733722569599,NA,1623,24404,13262,199768,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,79917,3,NA,NA,NA,NA,NA,NA,NA,1623,24404,13262,199772,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,140673,3,2.98039740231302,0.45798071775035,11.3141189649395,0.181930889062731,NA,1.09205664810701,0.818122076155846,1623,24404,13231,199692,-5,10,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4166231,3,0.344842518044226,NA,92.4398794868711,NA,NA,-1.06466743560169,NA,1623,24404,13262,199772,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,16741,3,0.824336357038609,0.716291029816326,0.94333719861948,0.00595549518640432,NA,-0.193176632074164,0.0702403847748064,1623,24404,13262,199672,214,3923,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,16743,3,0.888037096106432,0.792853271869748,0.99137763460995,0.0372522463855028,NA,-0.118741761967883,0.0570054736584213,1623,24404,11225,166926,326,5534,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4213540,3,NA,NA,NA,NA,NA,NA,NA,1623,24404,13262,199772,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,4209423,3,0.34386862918427,NA,2.76819593067632,NA,NA,-1.06749558645421,NA,1623,24404,13262,199735,0,13,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16736,80502,3,2.47513099733115,0.131043350457202,14.5027779088214,0.450357831702149,NA,0.906293322834612,1.20067698670055,1623,24404,13261,199745,-5,6,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,16741,1,1.02632924224829,0.847564272058654,1.23603045179828,0.787151802346614,NA,0.0259885941490199,0.0962501363420382,1186,5047,9949,40156,159,686,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,438120,1,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4166231,1,0.34486202607127,NA,92.5189043097334,NA,NA,-1.06461086637298,NA,1186,5047,9949,40158,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,16743,1,1.04811019015395,0.897103498787787,1.21998937290663,0.54907717501296,NA,0.0469887236483574,0.0784264891384214,1186,5047,8466,32788,238,1077,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,433736,1,2.94740859541027,0.620618508347772,12.4644250281642,0.157825328712363,NA,1.08092634206144,0.765299086302713,1186,5047,9927,40126,-5,7,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,78524,1,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,140673,1,702704421945341,NA,NA,NA,NA,34.1859574668995,NA,1186,5047,9918,40158,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,435243,1,0.260584632371953,NA,18.6728076221679,NA,NA,-1.3448275862069,NA,1186,5047,9949,40158,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,79917,1,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,432867,1,2.37154039923111,0.527328915794043,9.73230205461651,0.245606221102748,NA,0.863539701497636,0.743733374996331,1186,5047,9905,40129,-5,6,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4295261,1,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4080762,1,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,80502,1,NA,NA,NA,NA,NA,NA,NA,1186,5047,9948,40158,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4213540,1,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4209423,1,0.308673334695049,NA,8.61526758367063,NA,NA,-1.17547173055366,NA,1186,5047,9949,40150,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,435243,2,NA,NA,NA,NA,NA,NA,NA,992,992,8353,7871,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,16741,2,0.977090668422865,0.774291023675767,1.23369202219819,0.845371246090985,NA,-0.0231758283559569,0.118833508591146,992,992,8353,7869,147,138,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,16743,2,1.12406872824428,0.92637974516644,1.36518425996375,0.237080964629289,NA,0.116954895726958,0.0989202985356007,992,992,6959,6636,221,191,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,79917,2,NA,NA,NA,NA,NA,NA,NA,992,992,8353,7871,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,78524,2,NA,NA,NA,NA,NA,NA,NA,992,992,8353,7871,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,140673,2,407874025133461,1.71405221137504e-9,NA,NA,NA,33.6419794807281,NA,992,992,8322,7871,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,80502,2,NA,NA,NA,NA,NA,NA,NA,992,992,8352,7871,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4166231,2,0.135335283236613,NA,6.4744096443365,NA,NA,-2,NA,992,992,8353,7871,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4209423,2,0.135335283236613,NA,6.30158862405654,NA,NA,-2,NA,992,992,8353,7863,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
