database_id,target_id,comparator_id,analysis_id,preference_score,target_density,comparator_density
cdm_premier_covid_v1240,16733,16736,1,0,6.899899684711169e-18,5.35118671300107e-17
cdm_premier_covid_v1240,16733,16736,1,0.010101010101010102,3.6722339376573986e-16,1.210278208070085e-17
cdm_premier_covid_v1240,16733,16736,1,0.020202020202020204,0,6.136120907030652e-17
cdm_premier_covid_v1240,16733,16736,1,0.030303030303030304,1.9252199069669474e-16,5.570711050117939e-17
cdm_premier_covid_v1240,16733,16736,1,0.04040404040404041,2.3041089784233084e-16,2.23260051946592e-16
cdm_premier_covid_v1240,16733,16736,1,0.05050505050505051,2.4169228752772074e-16,3.8998491599116e-16
cdm_premier_covid_v1240,16733,16736,1,0.06060606060606061,2.3423334255852954e-16,3.659608620335136e-17
cdm_premier_covid_v1240,16733,16736,1,0.07070707070707072,2.6516867498076483e-16,1.8062022309383484e-16
cdm_premier_covid_v1240,16733,16736,1,0.08080808080808081,1.173810889388048e-16,3.2705995724555236e-16
cdm_premier_covid_v1240,16733,16736,1,0.09090909090909091,1.641419944061796e-15,5.362944269196291e-16
cdm_premier_covid_v1240,16733,16736,1,0.10101010101010102,3.906624671234606e-14,0
cdm_premier_covid_v1240,16733,16736,1,0.11111111111111112,8.371980745037385e-13,1.8969283434277443e-15
cdm_premier_covid_v1240,16733,16736,1,0.12121212121212122,1.621695722558641e-11,1.7964271250833633e-12
cdm_premier_covid_v1240,16733,16736,1,0.13131313131313133,2.492898102485031e-10,6.040180339694753e-10
cdm_premier_covid_v1240,16733,16736,1,0.14141414141414144,3.083373408404221e-9,7.316296013161086e-8
cdm_premier_covid_v1240,16733,16736,1,0.15151515151515152,3.389931506519173e-8,3.540068358775441e-6
cdm_premier_covid_v1240,16733,16736,1,0.16161616161616163,2.9683168950722454e-7,6.93405972406046e-5
cdm_premier_covid_v1240,16733,16736,1,0.17171717171717174,2.1433188554238936e-6,5.193709127550761e-4
cdm_premier_covid_v1240,16733,16736,1,0.18181818181818182,1.321876978746148e-5,0.0016372773889013962
cdm_premier_covid_v1240,16733,16736,1,0.19191919191919193,6.637672684362683e-5,0.0027202454593377784
cdm_premier_covid_v1240,16733,16736,1,0.20202020202020204,2.781291291133141e-4,0.004338711911619875
cdm_premier_covid_v1240,16733,16736,1,0.21212121212121213,9.803141271557945e-4,0.010283718034230246
cdm_premier_covid_v1240,16733,16736,1,0.22222222222222224,0.0028710911970402323,0.02084477858477047
cdm_premier_covid_v1240,16733,16736,1,0.23232323232323235,0.007114422587139481,0.033348129628650254
cdm_premier_covid_v1240,16733,16736,1,0.24242424242424243,0.015042566478875107,0.05970665764662142
cdm_premier_covid_v1240,16733,16736,1,0.25252525252525254,0.02751533777198605,0.1084365141272168
cdm_premier_covid_v1240,16733,16736,1,0.26262626262626265,0.044705775847296896,0.1659763048581213
cdm_premier_covid_v1240,16733,16736,1,0.27272727272727276,0.06628591665305535,0.22943560559105194
cdm_premier_covid_v1240,16733,16736,1,0.2828282828282829,0.09225430550413534,0.31804504639581194
cdm_premier_covid_v1240,16733,16736,1,0.29292929292929293,0.12342426360263783,0.43630728670716284
cdm_premier_covid_v1240,16733,16736,1,0.30303030303030304,0.16136122256428714,0.5719457110532847
cdm_premier_covid_v1240,16733,16736,1,0.31313131313131315,0.2094006848822162,0.7229582901224804
cdm_premier_covid_v1240,16733,16736,1,0.32323232323232326,0.27481620344038266,0.8932188866190479
cdm_premier_covid_v1240,16733,16736,1,0.33333333333333337,0.3693138141392402,1.110182221843892
cdm_premier_covid_v1240,16733,16736,1,0.3434343434343435,0.509508525193271,1.361095998147081
cdm_premier_covid_v1240,16733,16736,1,0.3535353535353536,0.7142389753182011,1.6636797647503008
cdm_premier_covid_v1240,16733,16736,1,0.36363636363636365,0.9932634844797887,2.092091785613437
cdm_premier_covid_v1240,16733,16736,1,0.37373737373737376,1.3407737313756865,2.660363204136251
cdm_premier_covid_v1240,16733,16736,1,0.38383838383838387,1.7306455882763645,3.3100167208322837
cdm_premier_covid_v1240,16733,16736,1,0.393939393939394,2.126581976537628,3.929306923340444
cdm_premier_covid_v1240,16733,16736,1,0.4040404040404041,2.5019522278573314,4.389937421319141
cdm_premier_covid_v1240,16733,16736,1,0.4141414141414142,2.8499830751851665,4.677771792354743
cdm_premier_covid_v1240,16733,16736,1,0.42424242424242425,3.1769607614200193,4.846779865835407
cdm_premier_covid_v1240,16733,16736,1,0.43434343434343436,3.4819708783658525,4.912530927888293
cdm_premier_covid_v1240,16733,16736,1,0.4444444444444445,3.7434552936056567,4.879519355124385
cdm_premier_covid_v1240,16733,16736,1,0.4545454545454546,3.9249281404491425,4.834300070922832
cdm_premier_covid_v1240,16733,16736,1,0.4646464646464647,3.995302407169316,4.803759331040142
cdm_premier_covid_v1240,16733,16736,1,0.4747474747474748,3.9561236086977214,4.641369336244686
cdm_premier_covid_v1240,16733,16736,1,0.48484848484848486,3.8396152195101214,4.257517272992373
cdm_premier_covid_v1240,16733,16736,1,0.494949494949495,3.6886456250695945,3.808782050624074
cdm_premier_covid_v1240,16733,16736,1,0.5050505050505051,3.5362639614057456,3.5044411568265272
