target_id,comparator_id,min_date,max_date,database_id
16733,16736,18294,18384,cdm_premier_covid_v1240
16733,16738,18294,18384,cdm_premier_covid_v1240
16733,16739,18294,18384,cdm_premier_covid_v1240
16761,16762,18232,18384,cdm_premier_covid_v1240
