"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
5,0.9334,0.9172,0.9499,0.9389,0.9229,0.9552,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
6,0.9157,0.897,0.9348,0.9136,0.8939,0.9337,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
7,0.8834,0.8606,0.9069,0.893,0.8704,0.9161,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
8,0.8503,0.8236,0.8778,0.8649,0.8385,0.8921,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
9,0.8373,0.8091,0.8664,0.8424,0.8131,0.8728,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
10,0.8225,0.7926,0.8535,0.8313,0.8006,0.8633,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
11,0.8059,0.774,0.8392,0.8127,0.7794,0.8475,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
12,0.7877,0.7535,0.8234,0.7817,0.7444,0.8209,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
13,0.7674,0.7307,0.806,0.7671,0.7279,0.8083,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
14,0.7517,0.7128,0.7926,0.7267,0.6829,0.7733,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
15,0.7218,0.679,0.7672,0.7096,0.664,0.7583,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
16,0.6982,0.6525,0.747,0.7002,0.6536,0.7501,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
17,0.6773,0.6291,0.7292,0.6905,0.6428,0.7418,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
18,0.6718,0.6229,0.7245,0.6852,0.6369,0.7372,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
19,0.6718,0.6229,0.7245,0.6741,0.6244,0.7277,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1527,1855,16733,16739,16741,3,"cdm_premier_covid_v1240"
2,0.9928,0.9886,0.997,0.9935,0.9899,0.9972,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
3,0.9763,0.9683,0.9843,0.9809,0.9744,0.9874,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
4,0.9605,0.9499,0.9713,0.9606,0.9511,0.9702,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
5,0.9387,0.9248,0.9527,0.9379,0.9256,0.9504,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
6,0.9196,0.9032,0.9362,0.9135,0.8985,0.9288,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
7,0.8889,0.8689,0.9095,0.8904,0.873,0.9081,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
8,0.8537,0.8298,0.8783,0.8669,0.8472,0.887,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
9,0.8411,0.8158,0.8671,0.8452,0.8235,0.8676,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
10,0.8289,0.8023,0.8564,0.8272,0.8037,0.8513,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
11,0.8083,0.7793,0.8384,0.8089,0.7837,0.835,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
12,0.7929,0.7621,0.825,0.7868,0.7594,0.8151,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
13,0.7755,0.7425,0.8099,0.7708,0.742,0.8008,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
14,0.7618,0.727,0.7984,0.7425,0.7112,0.7753,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
15,0.7358,0.6975,0.7762,0.7309,0.6984,0.7648,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
16,0.7153,0.6743,0.7587,0.7232,0.6901,0.758,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
17,0.697,0.6538,0.7432,0.7101,0.6758,0.7462,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
18,0.6921,0.6481,0.739,0.7045,0.6696,0.7412,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
19,0.6921,0.6481,0.739,0.6865,0.6498,0.7252,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
20,0.6696,0.6223,0.7204,0.6739,0.6361,0.714,NA,NA,16733,16739,16741,3,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1527,1855,16733,16739,16743,1,"cdm_premier_covid_v1240"
1,0.9646,0.9543,0.9727,0.9724,0.961,0.9804,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
2,0.9319,0.9183,0.9433,0.9429,0.9278,0.9549,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
3,0.8964,0.8798,0.9108,0.9151,0.8969,0.9302,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
4,0.8632,0.844,0.8802,0.8964,0.8762,0.9135,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
5,0.8316,0.8098,0.8512,0.861,0.8371,0.8816,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
6,0.8087,0.7849,0.8301,0.8288,0.8017,0.8525,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
7,0.7751,0.7484,0.7994,0.8094,0.7802,0.8351,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
8,0.7551,0.7265,0.7812,0.7923,0.7612,0.8199,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
9,0.7468,0.7172,0.7737,0.7748,0.7414,0.8044,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
10,0.7419,0.7117,0.7694,0.7565,0.7205,0.7885,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
11,0.7279,0.6958,0.7573,0.7505,0.7137,0.7833,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
12,0.7118,0.6772,0.7434,0.7319,0.6919,0.7675,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
13,0.708,0.6728,0.7402,0.7279,0.6873,0.7641,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
14,0.69,0.6512,0.7254,0.7137,0.6705,0.7524,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
15,0.67,0.6274,0.7089,0.6999,0.654,0.7409,NA,NA,16733,16739,16743,1,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1127,1127,16733,16739,16743,2,"cdm_premier_covid_v1240"
1,0.9636,0.9528,0.9746,0.9672,0.9568,0.9776,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
2,0.9272,0.9122,0.9425,0.9361,0.9219,0.9505,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
3,0.8893,0.8707,0.9082,0.9043,0.8868,0.9221,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
4,0.8531,0.8315,0.8753,0.8808,0.8611,0.901,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
5,0.8219,0.7978,0.8468,0.8403,0.8168,0.8645,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
6,0.7986,0.7725,0.8255,0.8107,0.7845,0.8378,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
7,0.7602,0.7309,0.7907,0.7868,0.7582,0.8165,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
8,0.7407,0.7097,0.7731,0.7655,0.7347,0.7976,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
9,0.7334,0.7016,0.7666,0.7458,0.7127,0.7805,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
10,0.7276,0.6951,0.7616,0.7265,0.691,0.7638,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
11,0.7177,0.684,0.7531,0.7191,0.6826,0.7575,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
12,0.699,0.6627,0.7374,0.7019,0.6629,0.7432,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
13,0.6948,0.6577,0.7339,0.7019,0.6629,0.7432,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
14,0.6743,0.6337,0.7175,0.6759,0.6327,0.7221,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
15,0.6517,0.6073,0.6993,0.6593,0.6136,0.7084,NA,NA,16733,16739,16743,2,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1527,1855,16733,16739,16743,3,"cdm_premier_covid_v1240"
1,0.9646,0.9554,0.9739,0.9655,0.9572,0.9738,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
2,0.9319,0.9193,0.9446,0.9294,0.9178,0.9411,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
3,0.8964,0.8808,0.9122,0.8936,0.8794,0.9081,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
4,0.8632,0.845,0.8818,0.8683,0.8523,0.8845,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
5,0.8316,0.8109,0.8529,0.8305,0.812,0.8493,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
6,0.8087,0.786,0.832,0.7992,0.7787,0.8203,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
7,0.7751,0.7496,0.8015,0.7713,0.7488,0.7944,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
8,0.7551,0.7278,0.7835,0.7506,0.7267,0.7753,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
9,0.7468,0.7186,0.776,0.7277,0.7019,0.7543,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
10,0.7419,0.7132,0.7718,0.7068,0.6794,0.7353,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
11,0.7279,0.6974,0.7598,0.7009,0.6729,0.73,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
12,0.7118,0.679,0.7462,0.6781,0.6479,0.7097,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
13,0.708,0.6746,0.743,0.6707,0.6398,0.7031,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
14,0.69,0.6534,0.7286,0.6542,0.6215,0.6886,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
15,0.67,0.6299,0.7126,0.6453,0.6116,0.6808,NA,NA,16733,16739,16743,3,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,316,639,16761,16762,16741,1,"cdm_premier_covid_v1240"
2,0.9873,0.9668,0.9952,0.9945,0.9767,0.9987,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
3,0.9767,0.9519,0.9888,0.9826,0.9601,0.9925,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
4,0.9522,0.9192,0.9719,0.9647,0.936,0.9807,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
5,0.9385,0.9015,0.9619,0.9406,0.9047,0.9632,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
6,0.913,0.8693,0.9426,0.9235,0.883,0.9504,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
7,0.8839,0.8334,0.9199,0.911,0.867,0.9409,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
8,0.8507,0.793,0.8934,0.9054,0.8599,0.9366,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
9,0.8358,0.7748,0.8815,0.8843,0.8331,0.9205,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
10,0.8194,0.7547,0.8685,0.8557,0.7976,0.8982,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
11,0.8194,0.7547,0.8685,0.8469,0.7866,0.8913,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
13,0.81,0.7429,0.8611,0.8357,0.7719,0.8829,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
14,0.8001,0.7306,0.8534,0.8185,0.7499,0.8699,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
16,0.8001,0.7306,0.8534,0.8138,0.7436,0.8665,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
17,0.8001,0.7306,0.8534,0.8009,0.7267,0.857,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
19,0.7734,0.6952,0.8339,0.7962,0.7204,0.8536,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
22,0.7594,0.677,0.8235,0.7962,0.7204,0.8536,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
23,0.7312,0.642,0.8016,0.7962,0.7204,0.8536,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
25,0.7169,0.6245,0.7903,0.7962,0.7204,0.8536,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
26,0.7169,0.6245,0.7903,0.7934,0.7164,0.8517,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
28,0.7169,0.6245,0.7903,0.79,0.7114,0.8495,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
30,0.7169,0.6245,0.7903,0.7717,0.6847,0.8376,NA,NA,16761,16762,16741,1,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,273,273,16761,16762,16741,2,"cdm_premier_covid_v1240"
2,0.9853,0.9712,0.9997,0.9927,0.9826,1,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
3,0.9813,0.9652,0.9977,0.9846,0.9697,0.9997,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
4,0.9582,0.933,0.9841,0.9664,0.9436,0.9897,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
5,0.9428,0.9128,0.9738,0.9449,0.9147,0.9761,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
6,0.9141,0.8763,0.9535,0.9384,0.906,0.972,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
7,0.8809,0.8353,0.9291,0.9244,0.8874,0.963,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
8,0.843,0.7893,0.9002,0.9244,0.8874,0.963,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
9,0.8259,0.7689,0.8872,0.8808,0.8305,0.9342,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
10,0.8074,0.7467,0.873,0.8617,0.8064,0.9207,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
11,0.8074,0.7467,0.873,0.8512,0.7932,0.9133,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
13,0.7965,0.7333,0.8651,0.839,0.7777,0.9052,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
14,0.7853,0.7197,0.8568,0.8263,0.7615,0.8965,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
17,0.7853,0.7197,0.8568,0.8107,0.7411,0.8868,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
19,0.7556,0.6822,0.8369,0.7945,0.7203,0.8764,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
22,0.7399,0.6627,0.8261,0.7945,0.7203,0.8764,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
23,0.7084,0.6248,0.8032,0.7945,0.7203,0.8764,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
25,0.6923,0.6058,0.7911,0.7945,0.7203,0.8764,NA,NA,16761,16762,16741,2,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,316,639,16761,16762,16741,3,"cdm_premier_covid_v1240"
2,0.9873,0.9751,0.9997,0.9969,0.9925,1,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
3,0.9767,0.9597,0.9939,0.9882,0.9796,0.9969,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
4,0.9522,0.9269,0.9781,0.9767,0.9643,0.9894,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
5,0.9385,0.9095,0.9685,0.9634,0.9473,0.9798,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
6,0.913,0.8775,0.9499,0.9454,0.9249,0.9664,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
7,0.8839,0.8419,0.9281,0.9341,0.9111,0.9576,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
8,0.8507,0.8018,0.9026,0.9217,0.8961,0.948,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
9,0.8358,0.7839,0.8911,0.8981,0.868,0.9292,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
10,0.8194,0.7642,0.8785,0.887,0.8549,0.9203,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
11,0.8194,0.7642,0.8785,0.8704,0.8352,0.907,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
13,0.81,0.7527,0.8716,0.8604,0.8232,0.8993,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
14,0.8001,0.7407,0.8642,0.8398,0.7987,0.8831,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
16,0.8001,0.7407,0.8642,0.8282,0.7849,0.874,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
17,0.8001,0.7407,0.8642,0.8039,0.7561,0.8546,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
19,0.7734,0.7066,0.8465,0.7973,0.7485,0.8494,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
22,0.7594,0.689,0.8369,0.7973,0.7485,0.8494,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
23,0.7312,0.6548,0.8166,0.7973,0.7485,0.8494,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
25,0.7169,0.6377,0.8059,0.7973,0.7485,0.8494,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
26,0.7169,0.6377,0.8059,0.7897,0.7392,0.8436,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
28,0.7169,0.6377,0.8059,0.7814,0.7291,0.8374,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
30,0.7169,0.6377,0.8059,0.7538,0.6956,0.8168,NA,NA,16761,16762,16741,3,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,316,639,16761,16762,16743,1,"cdm_premier_covid_v1240"
1,0.9557,0.9272,0.9732,0.9602,0.9333,0.9764,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
2,0.9209,0.886,0.9454,0.9368,0.9052,0.9581,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
3,0.8923,0.8527,0.9218,0.889,0.8496,0.9185,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
4,0.8465,0.7998,0.8831,0.8654,0.8225,0.8986,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
5,0.8273,0.7776,0.8669,0.8491,0.8035,0.8848,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
6,0.8005,0.7465,0.8442,0.8228,0.7726,0.863,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
7,0.7687,0.7095,0.8174,0.8204,0.7696,0.861,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
8,0.7461,0.6828,0.7987,0.7989,0.7435,0.8436,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
9,0.7374,0.6723,0.7916,0.787,0.729,0.834,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
10,0.718,0.6486,0.7761,0.7614,0.6978,0.8135,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
11,0.718,0.6486,0.7761,0.7545,0.6892,0.8081,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
12,0.7068,0.6347,0.7673,0.7545,0.6892,0.8081,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
14,0.6948,0.6197,0.758,0.7481,0.6805,0.8034,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
15,0.6948,0.6197,0.758,0.7457,0.6772,0.8018,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
17,0.6948,0.6197,0.758,0.7405,0.6697,0.7983,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
20,0.6948,0.6197,0.758,0.7348,0.6615,0.7947,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
22,0.6774,0.5959,0.7461,0.7348,0.6615,0.7947,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
23,0.6774,0.5959,0.7461,0.7288,0.6527,0.7908,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
24,0.6774,0.5959,0.7461,0.7249,0.6472,0.7883,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
27,0.6774,0.5959,0.7461,0.7205,0.6406,0.7856,NA,NA,16761,16762,16743,1,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,273,273,16761,16762,16743,2,"cdm_premier_covid_v1240"
1,0.9524,0.9275,0.978,0.9597,0.9367,0.9833,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
2,0.9121,0.8791,0.9463,0.9414,0.9139,0.9697,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
3,0.8919,0.8555,0.9299,0.905,0.8702,0.9412,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
4,0.8542,0.8114,0.8992,0.8867,0.8484,0.9266,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
5,0.8328,0.7866,0.8817,0.8758,0.8354,0.9182,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
6,0.8026,0.7517,0.857,0.8493,0.803,0.8983,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
7,0.7665,0.7096,0.8278,0.8493,0.803,0.8983,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
8,0.7492,0.6894,0.8143,0.833,0.7828,0.8864,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
9,0.7394,0.6777,0.8067,0.814,0.7591,0.8729,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
10,0.7285,0.6646,0.7986,0.7923,0.7319,0.8577,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
11,0.7285,0.6646,0.7986,0.7801,0.7166,0.8493,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
12,0.7157,0.6488,0.7896,0.7801,0.7166,0.8493,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
14,0.7022,0.6322,0.78,0.766,0.6985,0.8399,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
15,0.7022,0.6322,0.78,0.7497,0.6774,0.8296,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
22,0.6827,0.6063,0.7688,0.7497,0.6774,0.8296,NA,NA,16761,16762,16743,2,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,316,639,16761,16762,16743,3,"cdm_premier_covid_v1240"
1,0.9557,0.9333,0.9787,0.9531,0.9368,0.9696,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
2,0.9209,0.8916,0.9511,0.9264,0.9064,0.9469,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
3,0.8923,0.8582,0.9278,0.8882,0.8636,0.9135,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
4,0.8465,0.8052,0.8898,0.8668,0.8399,0.8946,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
5,0.8273,0.7833,0.8739,0.8464,0.8171,0.8767,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
6,0.8005,0.7524,0.8516,0.8142,0.7811,0.8486,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
7,0.7687,0.7158,0.8256,0.8081,0.7743,0.8434,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
8,0.7461,0.6895,0.8074,0.7979,0.7628,0.8347,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
9,0.7374,0.6792,0.8006,0.783,0.7457,0.8221,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
10,0.718,0.6561,0.7857,0.7705,0.7314,0.8116,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
11,0.718,0.6561,0.7857,0.7559,0.7145,0.7997,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
12,0.7068,0.6426,0.7775,0.7559,0.7145,0.7997,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
14,0.6948,0.6281,0.7687,0.7438,0.7001,0.7903,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
15,0.6948,0.6281,0.7687,0.7372,0.6922,0.7852,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
17,0.6948,0.6281,0.7687,0.7299,0.6832,0.7797,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
20,0.6948,0.6281,0.7687,0.7219,0.6735,0.7739,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
22,0.6774,0.6053,0.7581,0.7219,0.6735,0.7739,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
23,0.6774,0.6053,0.7581,0.7136,0.6634,0.7677,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
24,0.6774,0.6053,0.7581,0.7052,0.6532,0.7614,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
27,0.6774,0.6053,0.7581,0.696,0.6419,0.7546,NA,NA,16761,16762,16743,3,"cdm_premier_covid_v1240"
