"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
7,0.889,0.8696,0.9087,0.8766,0.8715,0.8817,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
8,0.8546,0.8316,0.8782,0.8524,0.8467,0.8582,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
9,0.841,0.8166,0.8661,0.8282,0.8218,0.8347,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
10,0.8258,0.7998,0.8527,0.8019,0.7948,0.8091,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
11,0.8066,0.7785,0.8358,0.776,0.7682,0.7839,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
12,0.7901,0.7601,0.8212,0.7536,0.7452,0.7621,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
13,0.7741,0.7422,0.8073,0.7333,0.7244,0.7423,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
14,0.7584,0.7246,0.7939,0.7112,0.7017,0.7209,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
15,0.7314,0.6942,0.7705,0.6902,0.6801,0.7005,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
16,0.7126,0.6732,0.7543,0.6754,0.6649,0.6861,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
17,0.696,0.6546,0.7401,0.6624,0.6515,0.6735,NA,NA,16733,16736,16741,3,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1623,24404,16733,16736,16743,1,"cdm_premier_covid_v1240"
1,0.9649,0.9549,0.9727,0.9631,0.9604,0.9657,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
2,0.931,0.9178,0.9421,0.9291,0.9254,0.9327,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
3,0.8956,0.8796,0.9096,0.8961,0.8916,0.9004,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
4,0.8604,0.8417,0.8771,0.865,0.8598,0.87,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
5,0.8291,0.8079,0.8481,0.8374,0.8316,0.8431,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
6,0.8065,0.7835,0.8273,0.8113,0.8048,0.8176,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
7,0.7738,0.7481,0.7973,0.7883,0.7812,0.7952,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
8,0.7535,0.7258,0.7787,0.7699,0.7622,0.7773,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
9,0.7437,0.715,0.7699,0.7548,0.7467,0.7627,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
10,0.7346,0.7048,0.7618,0.7361,0.7273,0.7446,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
11,0.7215,0.69,0.7504,0.7194,0.71,0.7286,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
12,0.7036,0.6696,0.7348,0.7052,0.6952,0.715,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
13,0.6967,0.6617,0.7289,0.6948,0.6842,0.705,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
14,0.6804,0.6425,0.7152,0.6828,0.6717,0.6937,NA,NA,16733,16736,16743,1,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1619,1619,16733,16736,16743,2,"cdm_premier_covid_v1240"
1,0.9648,0.9559,0.9738,0.9642,0.9552,0.9733,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
2,0.9314,0.9192,0.9438,0.9382,0.9266,0.95,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
3,0.896,0.8808,0.9114,0.9098,0.8956,0.9242,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
4,0.8607,0.8428,0.8789,0.8692,0.8517,0.887,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
5,0.8292,0.809,0.8499,0.8389,0.8192,0.8591,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
6,0.8066,0.7846,0.8292,0.8083,0.7863,0.831,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
7,0.7738,0.7491,0.7993,0.7819,0.7579,0.8067,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
8,0.7533,0.7268,0.7808,0.7569,0.7309,0.7839,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
9,0.7435,0.716,0.772,0.7412,0.7138,0.7696,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
10,0.7343,0.7059,0.7639,0.7149,0.6852,0.7459,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
11,0.7212,0.6911,0.7525,0.6962,0.6647,0.7291,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
12,0.7031,0.6707,0.7371,0.6962,0.6647,0.7291,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
13,0.6962,0.6628,0.7312,0.6839,0.6509,0.7185,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
14,0.6797,0.6437,0.7177,0.667,0.6318,0.704,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
15,0.657,0.6175,0.6991,0.6557,0.6191,0.6945,NA,NA,16733,16736,16743,2,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1623,24404,16733,16736,16743,3,"cdm_premier_covid_v1240"
1,0.9649,0.956,0.9739,0.96,0.9575,0.9624,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
2,0.931,0.9187,0.9434,0.9214,0.918,0.9247,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
3,0.8956,0.8805,0.911,0.8835,0.8794,0.8877,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
4,0.8604,0.8426,0.8786,0.8479,0.8431,0.8527,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
5,0.8291,0.8088,0.8498,0.8168,0.8115,0.8221,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
6,0.8065,0.7845,0.8291,0.7866,0.7808,0.7926,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
7,0.7738,0.7492,0.7993,0.7608,0.7544,0.7672,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
8,0.7535,0.727,0.7809,0.7396,0.7327,0.7465,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
9,0.7437,0.7163,0.7721,0.7212,0.7139,0.7286,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
10,0.7346,0.7062,0.7641,0.7009,0.6931,0.7089,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
11,0.7215,0.6915,0.7528,0.6823,0.6739,0.6908,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
12,0.7036,0.6713,0.7374,0.6665,0.6575,0.6755,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
13,0.6967,0.6635,0.7316,0.6537,0.6443,0.6632,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
14,0.6804,0.6446,0.7182,0.639,0.6291,0.649,NA,NA,16733,16736,16743,3,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1186,5047,16733,16738,16741,1,"cdm_premier_covid_v1240"
2,0.9907,0.9834,0.9948,0.9918,0.9866,0.995,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
3,0.9781,0.9676,0.9853,0.9782,0.9702,0.984,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
4,0.96,0.9459,0.9705,0.9598,0.9491,0.9682,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
5,0.9373,0.9193,0.9514,0.9384,0.925,0.9495,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
6,0.9204,0.8998,0.9369,0.9192,0.9035,0.9325,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
7,0.8863,0.861,0.9073,0.9022,0.8844,0.9174,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
8,0.8494,0.8195,0.8747,0.8794,0.8588,0.8972,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
9,0.8356,0.804,0.8625,0.8506,0.8268,0.8715,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
10,0.8202,0.7867,0.849,0.833,0.8071,0.8558,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
11,0.803,0.7672,0.8339,0.8205,0.7931,0.8447,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
12,0.7873,0.7495,0.8202,0.8023,0.7725,0.8287,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
13,0.7737,0.734,0.8083,0.7756,0.7424,0.8051,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
14,0.7581,0.7161,0.7948,0.7566,0.721,0.7883,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
15,0.7288,0.6828,0.7692,0.7445,0.7073,0.7777,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
16,0.7061,0.6573,0.7494,0.725,0.6853,0.7607,NA,NA,16733,16738,16741,1,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,992,992,16733,16738,16741,2,"cdm_premier_covid_v1240"
2,0.9909,0.985,0.9968,0.9869,0.9798,0.994,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
3,0.9773,0.9677,0.9869,0.9687,0.9575,0.98,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
4,0.9575,0.944,0.9713,0.9595,0.9465,0.9726,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
5,0.9329,0.9152,0.9509,0.9407,0.9242,0.9574,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
6,0.9153,0.8949,0.9361,0.9127,0.8916,0.9342,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
7,0.8826,0.8576,0.9083,0.8879,0.863,0.9135,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
8,0.841,0.811,0.8721,0.8585,0.8292,0.8888,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
9,0.8254,0.7935,0.8585,0.8281,0.7947,0.863,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
10,0.8079,0.7739,0.8433,0.8049,0.7684,0.843,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
11,0.7881,0.7517,0.8262,0.7933,0.7552,0.8333,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
12,0.7699,0.7313,0.8106,0.7717,0.7306,0.8152,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
13,0.754,0.7134,0.797,0.743,0.6979,0.791,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
14,0.7357,0.6925,0.7815,0.7262,0.6787,0.7771,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
15,0.706,0.6591,0.7563,0.7201,0.6716,0.7721,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
16,0.6789,0.6286,0.7332,0.6865,0.6328,0.7447,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
17,0.6607,0.6082,0.7178,0.6795,0.6248,0.7389,NA,NA,16733,16738,16741,2,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1186,5047,16733,16738,16741,3,"cdm_premier_covid_v1240"
2,0.9907,0.9853,0.9962,0.9907,0.988,0.9933,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
3,0.9781,0.9695,0.9868,0.9767,0.9724,0.981,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
4,0.96,0.9479,0.9723,0.9603,0.9545,0.9661,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
5,0.9373,0.9214,0.9535,0.9408,0.9335,0.9481,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
6,0.9204,0.902,0.9391,0.9215,0.9128,0.9303,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
7,0.8863,0.8633,0.91,0.9014,0.8913,0.9116,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
8,0.8494,0.8219,0.8778,0.8776,0.8658,0.8895,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
9,0.8356,0.8065,0.8657,0.8566,0.8434,0.87,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
10,0.8202,0.7893,0.8523,0.8322,0.8173,0.8473,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
11,0.803,0.77,0.8374,0.8142,0.798,0.8307,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
12,0.7873,0.7524,0.8239,0.7944,0.7768,0.8125,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
13,0.7737,0.7371,0.8122,0.7689,0.7494,0.789,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
14,0.7581,0.7193,0.7989,0.737,0.7153,0.7595,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
15,0.7288,0.6863,0.7739,0.7211,0.6982,0.7447,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
16,0.7061,0.6609,0.7544,0.698,0.6734,0.7234,NA,NA,16733,16738,16741,3,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1186,5047,16733,16738,16743,1,"cdm_premier_covid_v1240"
1,0.9688,0.9574,0.9772,0.964,0.9548,0.9714,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
2,0.9342,0.9189,0.9468,0.9299,0.9177,0.9403,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
3,0.905,0.8867,0.9205,0.8977,0.8831,0.9106,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
4,0.8658,0.8438,0.8848,0.8685,0.8518,0.8834,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
